                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.79899,                0.58182,                0.99013,                0.87242,                0.92317,                0.91207,                 0.6899,                0.92237,                0.71961,                 1.0813,              0.0012674,              0.0012674,              0.0012674
                     77,                0.77585,                0.56847,                 1.0014,                0.89984,                0.89842,                0.92024,                0.70995,                0.85532,                0.66362,                 1.0469,              0.0012575,              0.0012575,              0.0012575
                     78,                0.76587,                0.57749,                0.98431,                  0.863,                  0.935,                0.92107,                 0.7013,                0.88109,                0.70519,                 1.0497,              0.0012476,              0.0012476,              0.0012476
                     79,                0.77963,                0.57256,                0.97692,                0.86998,                0.90334,                0.90853,                0.67721,                0.93787,                0.70952,                 1.0814,              0.0012377,              0.0012377,              0.0012377
                     80,                0.78637,                 0.5668,                  0.992,                0.84366,                   0.91,                0.90528,                0.69912,                0.87362,                0.74982,                 1.0648,              0.0012278,              0.0012278,              0.0012278
                     81,                0.71276,                0.52856,                0.96668,                0.83214,                   0.92,                0.91136,                 0.7016,                0.92319,                0.70775,                 1.0618,              0.0012179,              0.0012179,              0.0012179
                     82,                0.73234,                0.53075,                0.96586,                0.87244,                  0.905,                0.91095,                0.68983,                0.92074,                0.66425,                 1.0607,               0.001208,               0.001208,               0.001208
                     83,                0.76122,                0.55939,                 0.9929,                0.88547,                0.88912,                0.90566,                0.70042,                0.90968,                0.70865,                 1.0753,              0.0011981,              0.0011981,              0.0011981
                     84,                0.76372,                0.56666,                0.97837,                0.88323,                  0.885,                0.92211,                0.70398,                0.91655,                 0.7002,                 1.0471,              0.0011882,              0.0011882,              0.0011882
                     85,                0.76982,                 0.5801,                 1.0043,                0.83797,                 0.9309,                0.93007,                0.71894,                0.88506,                0.66153,                 1.0344,              0.0011783,              0.0011783,              0.0011783
                     86,                0.76813,                0.54061,                0.97012,                0.90167,                0.87112,                0.93321,                0.69524,                0.94663,                0.66555,                 1.0415,              0.0011684,              0.0011684,              0.0011684
                     87,                0.74586,                0.54298,                0.96607,                0.91689,                  0.875,                0.93331,                0.70325,                 0.9412,                0.69796,                 1.0738,              0.0011585,              0.0011585,              0.0011585
                     88,                  0.743,                0.53454,                0.99449,                0.90315,                   0.91,                0.93553,                0.71666,                0.89785,                0.64748,                 1.0271,              0.0011486,              0.0011486,              0.0011486
                     89,                0.77083,                0.56364,                 1.0121,                0.88843,                  0.915,                0.93289,                0.70411,                0.89933,                0.64988,                 1.0366,              0.0011387,              0.0011387,              0.0011387
                     90,                0.74027,                0.54205,                0.97365,                0.87866,                  0.915,                0.92312,                0.71071,                0.90423,                0.65598,                 1.0834,              0.0011288,              0.0011288,              0.0011288
                     91,                0.74453,                0.53487,                0.97582,                0.88735,                0.90584,                0.92056,                0.70159,                0.92676,                0.66748,                 1.0783,              0.0011189,              0.0011189,              0.0011189
                     92,                0.72392,                0.52308,                0.96008,                0.88315,                0.90692,                0.91998,                0.70663,                0.91522,                0.69179,                 1.0598,               0.001109,               0.001109,               0.001109
                     93,                0.73289,                0.51151,                0.95954,                0.89804,                  0.875,                0.90114,                0.70265,                0.86095,                0.69366,                 1.0403,              0.0010991,              0.0010991,              0.0010991
                     94,                0.69912,                0.49937,                0.96072,                0.89949,                0.89492,                 0.9093,                0.70683,                0.90033,                0.71208,                  1.058,              0.0010892,              0.0010892,              0.0010892
                     95,                 0.7222,                0.51957,                0.96673,                0.88314,                0.86906,                0.89416,                 0.6895,                0.93276,                0.79052,                 1.0661,              0.0010793,              0.0010793,              0.0010793
                     96,                0.74065,                0.52297,                0.95513,                0.86381,                0.88801,                0.90964,                 0.6861,                 0.9652,                0.73823,                 1.1028,              0.0010694,              0.0010694,              0.0010694
                     97,                0.69715,                0.49201,                 0.9479,                0.80567,                   0.92,                0.90934,                  0.701,                0.90079,                 0.6845,                 1.0613,              0.0010595,              0.0010595,              0.0010595
                     98,                0.66289,                0.47325,                0.94792,                0.83151,                   0.93,                0.91565,                0.70816,                0.93677,                0.69748,                 1.0691,              0.0010496,              0.0010496,              0.0010496
                     99,                0.68976,                0.49058,                0.95869,                0.85889,                  0.865,                0.90469,                0.69382,                0.93983,                0.72577,                 1.0825,              0.0010397,              0.0010397,              0.0010397
                    100,                0.71317,                0.50311,                0.94821,                 0.8571,                  0.865,                0.88957,                0.68282,                0.91895,                0.73242,                 1.0565,              0.0010298,              0.0010298,              0.0010298
                    101,                 0.7099,                0.50577,                0.94798,                0.90614,                0.86887,                0.91654,                0.71817,                 0.8766,                0.67135,                 1.0282,              0.0010199,              0.0010199,              0.0010199
                    102,                0.73692,                0.50326,                0.98222,                0.88287,                0.90451,                0.91074,                0.69602,                 0.9464,                0.72157,                 1.0422,                0.00101,                0.00101,                0.00101
                    103,                0.71052,                0.49364,                0.94599,                0.89023,                  0.895,                0.92012,                0.70855,                0.89683,                0.66127,                 1.0279,              0.0010001,              0.0010001,              0.0010001
                    104,                0.69086,                0.48213,                0.94624,                0.85893,                0.94374,                0.92213,                0.71389,                0.88727,                  0.651,                 1.0465,              0.0009902,              0.0009902,              0.0009902
                    105,                0.68515,                0.47171,                 0.9395,                0.90465,                   0.89,                0.92636,                0.70434,                0.90956,                0.69036,                 1.0583,              0.0009803,              0.0009803,              0.0009803
                    106,                0.68537,                0.48373,                0.95158,                0.89273,                    0.9,                0.91652,                0.70655,                0.88685,                0.69926,                 1.0535,              0.0009704,              0.0009704,              0.0009704
                    107,                0.66936,                0.46927,                0.93513,                0.86596,                  0.875,                0.90566,                0.70159,                 0.8903,                0.74908,                 1.0627,              0.0009605,              0.0009605,              0.0009605
                    108,                0.67886,                0.47389,                0.94683,                0.89894,                  0.875,                0.91267,                0.70264,                0.92495,                0.71734,                 1.0688,              0.0009506,              0.0009506,              0.0009506
                    109,                0.66431,                 0.4657,                0.93042,                0.88785,                   0.87,                0.90555,                0.71775,                0.90288,                0.72579,                 1.0713,              0.0009407,              0.0009407,              0.0009407
                    110,                0.67762,                0.47874,                0.96187,                  0.894,                  0.895,                0.91012,                 0.7162,                0.88347,                0.70554,                 1.0553,              0.0009308,              0.0009308,              0.0009308
                    111,                0.67584,                0.46325,                0.95149,                0.91105,                0.87064,                0.92459,                 0.7213,                0.89274,                0.68166,                 1.0567,              0.0009209,              0.0009209,              0.0009209
                    112,                0.68665,                0.46874,                0.94111,                0.88029,                0.88243,                0.92148,                0.70509,                0.88077,                0.66245,                 1.0535,               0.000911,               0.000911,               0.000911
                    113,                0.70356,                0.47363,                0.96499,                0.89665,                  0.885,                0.92087,                0.70379,                0.90557,                  0.672,                 1.0602,              0.0009011,              0.0009011,              0.0009011
                    114,                0.68849,                 0.4911,                0.94875,                0.86722,                0.91439,                0.91144,                0.69465,                0.91954,                0.69679,                  1.038,              0.0008912,              0.0008912,              0.0008912
                    115,                0.68267,                0.47122,                0.94068,                0.86101,                0.92924,                0.92295,                0.71779,                0.88086,                0.66578,                 1.0325,              0.0008813,              0.0008813,              0.0008813
                    116,                0.70361,                0.47143,                0.93992,                0.84152,                0.92926,                0.92794,                0.72934,                 0.8553,                 0.6311,                 1.0487,              0.0008714,              0.0008714,              0.0008714
                    117,                0.66278,                0.46647,                 0.9488,                0.85592,                   0.92,                 0.9327,                0.73922,                0.84989,                 0.6649,                 1.0308,              0.0008615,              0.0008615,              0.0008615
                    118,                0.65345,                0.46138,                0.94008,                0.88684,                0.90127,                0.92118,                0.72007,                0.87788,                0.73942,                 1.0303,              0.0008516,              0.0008516,              0.0008516
                    119,                0.65204,                0.44464,                0.92226,                0.87712,                    0.9,                0.92797,                0.72132,                   0.92,                0.69995,                 1.0518,              0.0008417,              0.0008417,              0.0008417
                    120,                0.67654,                0.46119,                0.94336,                0.88328,                   0.93,                0.92337,                0.73266,                0.85362,                0.63554,                 1.0397,              0.0008318,              0.0008318,              0.0008318
                    121,                0.64303,                0.44698,                0.92177,                0.88224,                  0.925,                0.91824,                0.72867,                0.82767,                0.62385,                 1.0165,              0.0008219,              0.0008219,              0.0008219
                    122,                0.66241,                0.43909,                0.93153,                0.89311,                0.91906,                0.91116,                0.71946,                0.86043,                0.62292,                 1.0224,               0.000812,               0.000812,               0.000812
                    123,                0.65881,                0.44587,                0.93597,                0.89077,                0.93786,                0.91409,                0.71191,                 0.8848,                0.60105,                 1.0312,              0.0008021,              0.0008021,              0.0008021
                    124,                0.66235,                0.46445,                0.93591,                0.87524,                   0.94,                0.92206,                0.70925,                0.90861,                0.64373,                  1.051,              0.0007922,              0.0007922,              0.0007922
                    125,                0.63679,                0.43507,                0.92514,                0.92321,                   0.89,                0.90727,                0.70289,                0.88823,                0.65969,                 1.0589,              0.0007823,              0.0007823,              0.0007823
                    126,                0.61615,                0.42374,                0.92709,                0.90979,                  0.905,                0.91175,                0.70629,                0.89453,                0.66175,                 1.0499,              0.0007724,              0.0007724,              0.0007724
                    127,                 0.6474,                0.44762,                 0.9346,                0.91233,                0.88454,                0.91836,                0.71409,                0.89641,                0.65236,                 1.0467,              0.0007625,              0.0007625,              0.0007625
